,norm,cross_correlation,correlated_snr,chi2,snr_likelihood
005f7f67bd,3.8720803289079985e-19,3.27577916925038e-05,2.5512043138040886e-19,3.0110897081969763e-74,1.0
0060e0e22e,3.192445327722671e-19,-0.00033511398041520903,1.9911232448630884e-19,1.4382643796881593e-74,1.0
0061c9a516,3.986091163306556e-19,4.707225909153844e-05,6.441856565571386e-20,4.5936641403069465e-74,1.0
00631736cd,3.6938143070061993e-19,0.00019884582771103126,2.7202431531581705e-19,2.6267102832012265e-74,1.0
0071619ebb,2.97094369845882e-19,5.2524099770357585e-05,3.964969535710021e-19,9.007306911512456e-75,1.0
00717728d9,4.03649465784485e-19,0.00015172315091881286,5.435001386083254e-20,4.618554884895061e-74,1.0
0078660a43,2.866263348257807e-19,0.001104732999216856,3.438732958845738e-19,1.0195880677097844e-74,1.0
0079f18eaf,3.299218167366531e-19,-9.631201483164716e-05,1.3344702671710416e-19,1.907730822067283e-74,1.0
008483e095,3.768465261034836e-19,-1.846648046598745e-05,1.8419883963376514e-19,2.8028725852133033e-74,1.0
008a06ba13,2.925603051441187e-19,-1.673369229309308e-05,2.0946210336875367e-19,9.201300929458226e-75,1.0
008d9d572b,2.5030596059005814e-19,0.000281961557495024,2.2280494370470816e-20,6.113596279781424e-75,1.0
008e64a016,3.2225570894038793e-19,-9.015065903100098e-05,3.175115596993129e-20,1.7162785962836102e-74,1.0
0090de95b8,3.3296930508995034e-19,-1.3598430639890158e-05,4.49340153113823e-19,1.3625605368283903e-74,1.0
009620c1ab,3.3871006708803893e-19,0.00015214876415047224,8.664277334870003e-20,2.29731794512162e-74,1.0
009807a0fc,3.29902328390703e-19,-0.0005537620139403891,2.5476869138913887e-19,1.669714658942731e-74,1.0
009badf80d,3.354128293585332e-19,0.00011145904080501664,9.866725002667057e-20,2.09817355244218e-74,1.0
00a48e8ccb,3.4765342888859584e-19,-0.00038785180544225774,1.1066618052662366e-19,2.4513921577667297e-74,1.0
00a66f8ecd,4.477641216411307e-19,0.00018550220829495319,9.168313297397972e-20,7.995028153294236e-74,1.0
00a6a5a267,3.8380600114312435e-19,0.00014089423018295475,9.806183369913928e-20,3.3227075243154538e-74,1.0
00aa85f656,2.8856044723464112e-19,-1.0777172414458756e-06,1.7242563967931001e-19,1.075286067502261e-74,1.0
00ab583b90,4.887434444815297e-19,-3.267253995866896e-05,5.068488214783835e-20,1.0525104406432352e-73,1.0
00b0c4550f,3.3595722226848803e-19,-0.00022492083765823215,1.2438675220349013e-20,2.7392834604789066e-74,1.0
00b26a01c1,3.1910908091497354e-19,-0.00019616791504680126,1.0391536988967262e-19,1.6577069621009865e-74,1.0
00b657386b,3.736200143934724e-19,0.00021565045778296001,1.2709490818059008e-19,3.568272372800168e-74,1.0
00b78e4ed7,3.3155727966169625e-19,0.00023569565850645798,2.288440983754248e-19,1.778679583053702e-74,1.0
00bbe2a3ab,3.331714699443368e-19,0.0005884430885835751,3.8961676826917567e-19,1.6752475649015578e-74,1.0
00bc165e2e,3.83404111327549e-19,-0.00018873069459847134,1.4068935332043361e-19,3.181565349614512e-74,1.0
00bc77b5d1,3.2895632784269594e-19,0.0003389127128182242,7.97550293004762e-20,1.8062915324771854e-74,1.0
00c0eca344,2.6889075566669816e-19,0.00021655459207528,4.7880466915555204e-20,7.145446309783256e-75,1.0
00cb779a7d,3.680550106152278e-19,-0.0002801571086956547,2.85257052463367e-19,2.933893091857566e-74,1.0
00ccac61b4,3.422681518395673e-19,-0.0006096274708643563,3.5308855207437e-20,2.323794883377745e-74,1.0
00ceee94e5,3.0578308638013403e-19,0.00016682999491281683,4.095524372791951e-19,1.0555390805258067e-74,1.0
00cf958d7c,3.0652974784359747e-19,0.00024490704433370727,5.57485592103948e-20,1.3175299996210399e-74,1.0
00d0664386,3.995072907550556e-19,0.00019897049936568276,3.675256971953604e-20,4.8974107469979675e-74,1.0
00d5f328a9,2.7455924308335004e-19,5.177696999373943e-05,5.12596107776808e-20,7.810785992965455e-75,1.0
00d65e5f2c,2.9750694674502046e-19,0.0005696882838540292,2.037575296156229e-20,1.0819655395108951e-74,1.0
00d7ac5098,2.7487569709402604e-19,0.00013524716390432204,2.3870709707064053e-20,9.69636657071894e-75,1.0
00d86e6076,2.7222714683030015e-19,0.00016055215907239038,3.937786075147405e-19,6.670991632008664e-75,1.0
00d8e03cca,2.9472782876703896e-19,-0.00014876592574647828,1.4895523612672013e-19,1.2915632715402572e-74,1.0
00e3624f54,3.2869819669191474e-19,-7.114269124812038e-05,4.769776080746028e-20,2.2593232986679904e-74,1.0
00eef78973,2.980461103304419e-19,-0.000433079989680749,1.976279142484811e-20,1.3692833949698678e-74,1.0
00f0b8a4db,3.833540094179251e-19,-0.0002760075983504851,1.5220705552046726e-19,4.3274542814536944e-74,1.0
00f2c4882d,3.844745200807797e-19,0.00015753704657931567,4.9383116975851096e-20,3.585500503501063e-74,1.0
00f5c07e10,3.7844466606964666e-19,0.0001802466984760078,1.3737497083087026e-19,3.3715453468214282e-74,1.0
00f732a0ee,3.4403356513309246e-19,-0.0006540021557235692,4.96522501661758e-19,1.6348098635707322e-74,1.0
00f7539ebd,3.1482338124224657e-19,-0.0006131661750391216,9.436085427372511e-20,1.2685559560942007e-74,1.0
00fd27840b,3.700729714591959e-19,-0.00017328094181715657,2.0299675285294242e-19,2.7563539328368993e-74,1.0
00ff4de3e0,3.5824747251252104e-19,0.00025706838260151487,1.8875266329463538e-19,2.722676694038519e-74,1.0
0103503166,3.025571221204686e-19,0.00020018085058800769,1.0103129649193718e-19,1.739688973026535e-74,1.0
0103761e96,2.890248435298862e-19,6.822920720972702e-05,1.4330470179222822e-19,1.1374155024513515e-74,1.0
010b1714e2,4.2561977763070337e-19,-5.5825189343881016e-05,1.4005983516720047e-19,5.41975096388536e-74,1.0
010c6bb038,3.2288146692627836e-19,-0.00011640347266203248,2.729029158370073e-19,1.5831772156478872e-74,1.0
01111cd9d6,4.237810648282944e-19,0.0006365507373428914,2.137457771023054e-19,5.095613080507164e-74,1.0
011181049b,3.3590553789016568e-19,0.000251175774912553,5.185838923251708e-19,1.319248124735427e-74,1.0
01174695d9,4.1507935636552107e-19,-0.00021104892434381785,2.641119161320129e-19,5.357308048492319e-74,1.0
0118ae569a,3.039926455949613e-19,0.00011443108226287426,2.0155970357707888e-19,1.2268938278315538e-74,1.0
011a4cd228,3.26583965611612e-19,4.3939920195836834e-05,1.2524092633190907e-19,1.7108205965733123e-74,1.0
012182649f,3.0461660234247067e-19,-0.00026541994902846484,7.516552555691256e-20,1.3661282236405637e-74,1.0
0121c199a3,4.201860307889517e-19,0.00023250049871607122,4.394911410353207e-19,4.036436694263311e-74,1.0
012330b9de,3.1011264979129515e-19,-0.0002018727993534592,2.972374027263059e-19,1.230243323694039e-74,1.0
01261fab06,4.025897341946318e-19,0.0001898667483628475,3.240730107500431e-19,4.6801019080136775e-74,1.0
0127111ac2,3.971595641991064e-19,-0.00017624980593390464,3.6385986418164404e-20,4.897361728017881e-74,1.0
012781dbc4,3.2036935369519056e-19,0.00029491994015981544,2.204858370699179e-19,1.6883371804382765e-74,1.0
012a365f3b,4.3241346141805406e-19,1.8549642076069604e-05,2.328582095024012e-21,7.222682984779182e-74,1.0
012c247ea8,2.9931385180346976e-19,-5.247758633355681e-05,1.2118311227524444e-19,1.1930725340749932e-74,1.0
013324bf1d,3.2856040439219087e-19,-9.795695060876668e-05,1.998244703340397e-19,2.0571386818802135e-74,1.0
0135afc9b0,2.6640421486608397e-19,0.00021601702947234632,1.2066933186315357e-19,7.384386263019591e-75,1.0
013fa3a95c,3.3756166525519556e-19,0.0002889485566597973,2.1518325692729293e-19,2.067848404880869e-74,1.0
0140d5c2cc,3.077500490722115e-19,-7.851726782440306e-05,5.033963932465019e-20,1.4969806466001753e-74,1.0
0142abe810,3.7422818165549823e-19,0.00011180742307875418,8.728323183479003e-20,3.190700868435963e-74,1.0
0143b05ed9,4.620341980940756e-19,-0.0006150696160022994,7.422080683102136e-21,1.0122150937728339e-73,1.0
014898c56f,3.540587473459393e-19,0.00010154720505249246,1.182471641378305e-19,2.8822672363199477e-74,1.0
0150bcfc82,4.0450216910330088e-19,0.00016352140288165365,1.4662037069274134e-19,4.269916747636773e-74,1.0
01548fd6ad,3.307255312958539e-19,0.00030026388650795027,1.17400387494578e-19,1.7132358696471054e-74,1.0
015d98011d,3.4668450677543557e-19,0.0001990520622888566,1.497743472359873e-19,2.2401942571914395e-74,1.0
017321dee2,3.3789388330809538e-19,-0.00014389548669239177,7.428998483249987e-20,1.6654069135155006e-74,1.0
017560259b,3.3583878880058997e-19,-0.00019088844602731397,1.250644053430691e-19,2.133216112172467e-74,1.0
017753bf2b,3.7657838610882227e-19,-4.1428167985823464e-05,2.39553158406689e-19,3.5661430874779156e-74,1.0
017ec2b1a8,3.2094470924080626e-19,-0.00042340808837293723,7.102907751871603e-20,1.6957749991297658e-74,1.0
017f7f5c85,2.92765353432133e-19,-0.0003331986281490997,1.5898291193733641e-19,1.1983459776768559e-74,1.0
018514a62f,3.771900844704485e-19,-6.341783795248491e-05,3.7324026497479397e-20,3.1429701929925323e-74,1.0
0185522785,3.4494268932542765e-19,0.00010457811474775455,4.075869261105171e-20,2.5444490414040678e-74,1.0
018a2ad374,3.5860746002653198e-19,0.0001628959395866496,2.5338974883028166e-19,2.7588251307362753e-74,1.0
018d471a92,2.862498104721975e-19,0.0001224859403501191,1.3753992458843993e-19,8.770146802370477e-75,1.0
01917651a2,3.089169505042176e-19,-0.0002894940748840307,4.164009201347101e-20,1.4027581384247398e-74,1.0
0191b8c560,3.323397036028102e-19,-0.00012129276984360448,7.184251286355843e-20,1.891191504988286e-74,1.0
0191e125a7,3.6056363972957406e-19,-0.0003126506298554899,5.02699982286714e-21,2.80489575371563e-74,1.0
01a175df87,3.217426645415442e-19,0.0002645677029280931,1.7803009575883331e-19,1.6408111878315081e-74,1.0
01a2472dc8,3.509686674175947e-19,-0.00027211594619557254,4.143464194829515e-19,1.9647278660647267e-74,1.0
01a64c8102,4.0741660628375196e-19,0.00011847379852198585,9.073958240935376e-20,4.924844183791747e-74,1.0
01a749172e,3.9059209658507786e-19,-0.0002092878823971842,2.615462862959108e-19,3.374687162872676e-74,1.0
01ae89fe7d,4.484295171639101e-19,-0.00017668121802680701,1.1743890514100204e-19,9.59482948309741e-74,1.0
01af8e8ec5,2.7552076129987436e-19,0.0002444750821267443,3.2577600602321754e-19,7.572846624296366e-75,1.0
01afbe365c,3.503484647719866e-19,0.0001367635243710885,1.0497886474771528e-19,2.885439437946063e-74,1.0
01b79bfc57,3.049373939503259e-19,-0.000341639234625857,7.158683202282531e-20,1.603722164129242e-74,1.0
01c1e4241b,3.96120371300953e-19,-1.78484692999908e-05,1.359470678274734e-20,4.292510641061778e-74,1.0
01c2a4c1ca,3.5761190186977827e-19,1.2580988986701076e-05,8.522795847528945e-20,3.074955282379972e-74,1.0
01c3688038,4.2212146149205704e-19,0.00040895890814740576,1.6897587529041527e-19,5.196348720793963e-74,1.0
01c7249d47,3.7452638605521015e-19,0.00020501419151380094,1.4974942753891497e-19,2.9279974297435014e-74,1.0
01cd734c7f,4.657641881914201e-19,-0.0007127859226362872,5.71181382118599e-20,1.0809426101106233e-73,1.0
01cfe439b0,2.6966108429179095e-19,4.3563142105518545e-06,8.856012217966515e-20,7.190324106296227e-75,1.0
01d6134a7f,3.6273165218248127e-19,-0.00012290946972813628,2.9087757822126917e-19,2.695296821127472e-74,1.0
01db49128d,3.201266705491816e-19,-0.0002597228521067741,2.8800198956531634e-19,1.391518127417376e-74,1.0
01dbb25ad9,4.429864820186301e-19,2.4834858201011716e-05,2.186873040966779e-20,6.6276603572278646e-74,1.0
01df44fd1a,3.8596069156321542e-19,9.96610513503883e-05,7.74978898542748e-20,3.7477998460832094e-74,1.0
01e06d9d1c,3.4443165183373365e-19,0.00013796028500638954,9.594542097807693e-20,2.491275942903844e-74,1.0
01e119ed88,4.522902788372695e-19,0.00015280741209537267,1.4719689007895762e-19,8.950235786745705e-74,1.0
01e265e253,3.2489629706751187e-19,8.090426033487575e-06,2.4465497060966776e-19,1.3038094076443753e-74,1.0
01e2d0caf8,2.822116325638026e-19,0.00017223912273143133,1.1623515338292092e-19,9.71398769813484e-75,1.0
01e384b264,3.607316358881488e-19,0.0003154732295050624,6.214500347123101e-21,2.6729535468486885e-74,1.0
01ef834c7e,3.202923245847801e-19,2.829803096074299e-05,1.2942602157997827e-19,1.5351137900919842e-74,1.0
01f159d563,4.0346090934910336e-19,-7.466063335280188e-05,3.816333161989767e-19,5.0088656717591305e-74,1.0
01f2221dc1,3.0322912774373285e-19,0.00017403663450773387,2.2228886702954487e-20,1.4924827327153266e-74,1.0
01f483bd6f,3.30148454486814e-19,0.0003234848951118019,4.337676906971789e-20,2.20089556444894e-74,1.0
01f6824bce,3.383978292806464e-19,0.0002771941520292568,1.878442871464832e-19,1.722141542984475e-74,1.0
01fbfd061d,4.326089037533654e-19,2.9080105612035284e-05,8.017338680473187e-21,6.891142510276167e-74,1.0
01fcbcf4a4,2.637104551770977e-19,-0.00016305057144078372,6.65894906399702e-20,7.344654069114475e-75,1.0
01fcc089c3,2.787189331401568e-19,-0.0002361660236522755,1.4378499380767687e-19,9.022815550092224e-75,1.0
01fe6dcfee,3.392382001621044e-19,0.0002845290604451862,3.127092958572452e-19,2.1739886863744136e-74,1.0
0200bf2c54,3.8055715497844033e-19,5.5255144080540717e-05,1.0045796070912856e-19,3.543003029142492e-74,1.0
0203ecaea7,3.4266013231753296e-19,9.40079304928331e-05,5.620780989957885e-20,2.715790597291398e-74,1.0
020e59c544,2.8764610317350323e-19,2.8039641928531822e-05,1.0466829661085006e-19,9.90923005786952e-75,1.0
020f4526c9,3.392806957003288e-19,-0.0004552181891781434,2.5338740285719536e-19,2.29289337139205e-74,1.0
02127ced17,3.611655135529038e-19,0.00022056298633996635,5.924227774374119e-20,2.9230812215416286e-74,1.0
0212ba6048,2.889199666539029e-19,-0.00011582322975010847,2.9493923633961163e-20,1.0917790057383236e-74,1.0
02148c614d,2.8238122034417576e-19,-2.1822981734433343e-05,3.331994924297187e-20,1.0490176453920232e-74,1.0
0214f1fc06,3.172861666867335e-19,8.762244077518407e-05,2.7636152461173845e-21,1.372846734933288e-74,1.0
021cc1b3c6,3.1006965197072794e-19,0.00021047743459699436,3.4644314358090846e-20,1.4216041116638731e-74,1.0
021ee7cf73,3.6288782296101247e-19,2.5294873197099227e-05,7.050010302027161e-20,2.76557491332022e-74,1.0
021f605c08,3.7830104199757065e-19,-0.0005434831862978315,4.0070781888829316e-19,3.1776954021148215e-74,1.0
0223e6b879,3.576204289761278e-19,0.000295327842169807,9.191333680453206e-20,2.840368807616781e-74,1.0
02280d1755,3.349044802480579e-19,-2.9848031614005782e-05,9.046001128493906e-20,2.2816565715315932e-74,1.0
02295f2e6d,2.700550304390409e-19,0.00016501439712963202,4.914954963997997e-20,7.86681553783584e-75,1.0
022afef650,3.843228386107339e-19,0.00010872783709623896,1.1667380812404197e-19,3.0678605907280075e-74,1.0
022b4bf21f,3.153245195766459e-19,-0.0002814761327552552,1.0859841555741906e-19,1.7069041439073074e-74,1.0
022b559789,4.749506138993312e-19,-3.557192230196558e-05,2.990890382094308e-19,7.242037073897462e-74,1.0
022d452b6f,4.320967854614112e-19,5.44540633989462e-05,1.872681555944396e-19,7.480456073988987e-74,1.0
02336a9c67,3.173820310142274e-19,4.890388869649975e-05,2.2047053301881686e-19,1.7370152493748514e-74,1.0
0237090b3b,3.9479252595876136e-19,0.00011716397603358927,4.484294643896986e-20,4.513307793928074e-74,1.0
0238e2d08e,3.894402622926142e-19,-0.0001528219147853429,1.9692877415596043e-19,3.597562412559112e-74,1.0
0239753c47,3.225039211973751e-19,0.00016826963668996537,4.8251370017394494e-20,1.904014834217368e-74,1.0
023a48ca6c,3.690486441534309e-19,0.00027384161541794266,4.0635987802954006e-20,2.9252712346454346e-74,1.0
023c12b5ef,3.1287133582911194e-19,0.00025320627452721597,8.948063555788673e-20,1.5154998871008e-74,1.0
023d4670d0,4.1505812230129826e-19,-0.0003595075461423884,9.007545092916005e-20,4.735348588748059e-74,1.0
0245a5c4e9,3.198533856722159e-19,0.00020804907239408552,5.793234465698028e-20,1.7413145204031378e-74,1.0
024629c1d9,3.6763290274646167e-19,-0.00018470959395232889,2.8151802354278104e-20,2.780536731181312e-74,1.0
0248628c7a,3.21388590860076e-19,0.00036420044412239973,2.835718311272904e-19,1.6249815587047715e-74,1.0
024dbee6be,4.589665379120643e-19,-0.0001212816949525426,1.2214229514856037e-19,9.30091517822572e-74,1.0
024e320b53,2.9022963202071196e-19,-0.0007139215425658246,1.4376572982361215e-19,1.0917517527828784e-74,1.0
024f5313fe,3.393543312872147e-19,0.0002002518773492772,6.012330569878602e-20,2.507863196303784e-74,1.0
02511dfa50,3.3765746146649874e-19,-0.00013059321855696135,8.383059213151699e-20,2.040854754566713e-74,1.0
025126e010,3.6974242487012273e-19,0.0002824352532256501,8.088132995763219e-20,3.128765146322669e-74,1.0
025614a331,3.465183071041861e-19,-6.371278364216695e-05,8.431096982620806e-20,3.2140195239702763e-74,1.0
0258301cd9,3.1387552839882657e-19,0.0004330931372649705,7.626455677540286e-20,1.389256214369953e-74,1.0
025a7531cb,3.3759930773896746e-19,9.14510902646126e-05,2.4152058622646463e-19,1.936446939783018e-74,1.0
025ee94850,4.182980774219082e-19,-4.7204316593289405e-06,6.842547483041138e-20,4.792993111746361e-74,1.0
025ef3e7a6,4.058564384344516e-19,-4.413046196901164e-05,2.655091354077758e-19,3.991269607680565e-74,1.0
025f4c0149,4.222318724799407e-19,0.00015572726368778274,8.264023977102362e-20,5.244602200171924e-74,1.0
025fdd2bcb,3.6326247520562006e-19,0.000131400545648034,2.3744377466772317e-19,2.5569383644173215e-74,1.0
026d079c7b,3.644534747988366e-19,-0.0002607793286868291,1.767541907229325e-19,3.03281692930972e-74,1.0
0270b83b27,3.1576636696493706e-19,0.00013531730529701754,1.0817050906546863e-19,1.6400318015799614e-74,1.0
02751db605,3.9843334108946783e-19,-0.00016510040654241922,1.6801854671143165e-19,3.182729306285128e-74,1.0
02782ed02b,4.112205710864392e-19,0.0002146552871591905,3.297223031807838e-19,3.876899538336603e-74,1.0
0278fb13e0,3.347917989075481e-19,-0.00011339348009897409,1.0554705821340751e-19,1.7836116749992745e-74,1.0
027bfe8ff0,2.991933755938481e-19,3.300540083920545e-05,1.0247564178888146e-19,1.1310897062843822e-74,1.0
027c1eafb9,3.681464306786035e-19,0.00031024422434417203,3.280817000854209e-19,2.7999252174866072e-74,1.0
02804f1923,3.441687440036729e-19,-9.91728403941941e-05,9.997034082081405e-20,2.3189653798035276e-74,1.0
0280951116,2.4629310916975154e-19,-3.9393776027678756e-05,1.2367756354746259e-19,5.635601477211548e-75,1.0
02857fe4d2,3.1318231340531155e-19,0.00013839148784550336,6.419075022479642e-20,1.7587959087372949e-74,1.0
028642f379,3.6996646269889014e-19,4.899885405485666e-05,9.932395049278629e-20,3.0031015012234327e-74,1.0
028a797bb8,3.5925931268822216e-19,-0.00022933457605109206,1.577571902288314e-19,2.4227003436513e-74,1.0
028fefbd8a,3.336953320430663e-19,0.00010164124009464486,2.833027195080708e-20,1.8812132624692635e-74,1.0
0291db6b70,3.145687118856106e-19,-0.0002453748483171792,2.2242131726552843e-19,1.5770066625003092e-74,1.0
02968e9b07,3.8865266683603986e-19,0.0003911750208948188,1.0007306759447169e-19,4.189550320920628e-74,1.0
02980ff62e,2.909123019949745e-19,-0.00043881929707510314,3.776388141012782e-21,9.972944576436107e-75,1.0
02989ab411,3.899367294660682e-19,0.0002567524250549538,1.5029558069567517e-20,4.823055494266751e-74,1.0
029b195e93,2.707361079082362e-19,0.0002406030867488571,3.43956564243091e-20,1.0489789806145815e-74,1.0
029da9b890,3.712183199222359e-19,-0.00010860617249973225,3.0513905643898904e-19,3.3369364521836728e-74,1.0
029efe693c,3.5421039712229243e-19,0.0001878392051994172,1.56891052896421e-19,2.7055561068722688e-74,1.0
02a0e278e2,3.2477130406432173e-19,-0.00011628747092852203,1.1008387612456106e-19,1.9861317638127063e-74,1.0
02a7bd93fc,3.123765663352117e-19,9.398939912420428e-05,6.678138494064226e-20,1.7599092564690096e-74,1.0
02ac9c99cf,3.026553318976928e-19,-9.726259937308517e-05,4.06030443844059e-21,1.316941416828177e-74,1.0
02b14731d6,3.4275485554171202e-19,-0.0002674963201900068,2.1987623382468247e-19,2.14827178980668e-74,1.0
02b445993e,3.0386343319032327e-19,0.00012715683069612838,4.058115417764212e-20,1.6452140519971178e-74,1.0
02b477704d,2.606709304332852e-19,2.1445016755101662e-05,3.148509149487239e-19,4.0580594065950417e-75,1.0
02b7ce61c0,2.6985718525553623e-19,-0.00032738811870385183,2.704104185412245e-19,7.486126508804969e-75,1.0
02b7fd16a0,3.609394355682607e-19,-0.0003350317571732883,1.828515950535724e-19,2.2605573950557436e-74,1.0
02bdf91b42,3.2311345256054445e-19,-0.0005480929419288129,1.3101020514698394e-19,1.6165301451240869e-74,1.0
02be624da6,3.32911772365721e-19,-0.00016679803713533323,5.945348793203134e-20,1.9984559869081607e-74,1.0
02bf5769cd,4.2329300948378026e-19,0.00040292343873610915,4.854880114535494e-20,7.001697422415675e-74,1.0
02c855d861,4.574182680587203e-19,-0.0002403763516030519,8.155591634482629e-20,9.111601902169412e-74,1.0
02ca2716e6,4.0102329748156277e-19,-4.547116007945808e-05,6.028637880689655e-20,4.45379343144726e-74,1.0
02d0390bd0,3.6644704062421545e-19,-4.569546223947055e-05,4.857211498903503e-20,2.911692892030244e-74,1.0
02d1f3d56f,2.4161595992694296e-19,-0.000331666652075605,2.8251775218091146e-20,4.623534862939345e-75,1.0
02d865d8fa,2.816004659316845e-19,-0.00037014480019232287,3.33181008322926e-19,7.780688513868955e-75,1.0
02db1a1dee,2.675444228866844e-19,-6.794802349139269e-05,2.646706158668376e-19,5.365518498835422e-75,1.0
02dbcd5a78,4.41614803543173e-19,0.00028518974101860817,1.3520702633390866e-19,6.916393023958254e-74,1.0
02dc662ba7,3.5219788942808633e-19,-0.0005047161524500326,2.0688618251528567e-19,2.6108420485637338e-74,1.0
02dd6033af,3.2659714661105324e-19,8.743062679071489e-05,6.670759625289409e-20,2.5949184986495704e-74,1.0
02dfb85500,4.822230850738324e-19,0.00017336001826483732,3.1699026123450976e-20,8.592392557311195e-74,1.0
02e2302fcf,3.851772022274529e-19,0.00013506027712600514,2.85252290367681e-19,3.8087421642602514e-74,1.0
02e82ae8e6,3.813665631861569e-19,-7.736929527895736e-05,2.805805360639764e-19,3.596311961226676e-74,1.0
02e8dac683,3.2381607867831504e-19,-0.0001457754791191367,2.0860286413976194e-19,1.416962197816785e-74,1.0
02ea938602,3.056067068500331e-19,-0.00015891696272928789,1.2092045131020204e-19,1.3655591954530998e-74,1.0
02f3078aa7,3.580231204593972e-19,0.00020571467222141635,6.740079133058133e-20,3.0632344249098923e-74,1.0
02f6db8a45,3.7111248121711145e-19,0.0003355607115536147,7.16776373105114e-20,3.3371012458457288e-74,1.0
02f9b448f0,2.8998550877926094e-19,0.00035478792974471483,1.451272634608355e-19,1.0902723311280966e-74,1.0
02fa132384,2.8166452558742776e-19,-7.034485767687103e-05,3.312335109119502e-20,1.0144459387322748e-74,1.0
02ff17c5f6,2.6424616743491207e-19,-0.0003618530436430196,1.6032537390961515e-19,6.949879720654091e-75,1.0
02ff4ca918,3.1462859861467303e-19,0.0007717711721654244,2.0119601208566816e-19,1.4952185403167628e-74,1.0
02ffc0193c,3.1096520580277374e-19,-2.7960748262509306e-05,6.745718441666238e-22,1.5181574530668809e-74,1.0
030335932f,2.0140314738492551e-19,-0.0005950249275386133,1.7385468732645124e-21,2.450947315661404e-75,1.0
030ce4a012,3.0319923933006325e-19,-0.0004883581954360789,2.0097789550976362e-19,1.2625027718720599e-74,1.0
0310d4ba2e,3.201508176586419e-19,-0.00048243766673251523,1.504552545550449e-19,1.6396301988874394e-74,1.0
03110d969c,3.019568789319312e-19,0.0002863037129541276,1.7562215488542962e-20,1.4520990571352373e-74,1.0
